,name,artist,uris
66,Chiron Beta Prime,Jonathan Coulton,spotify:track:1Kku9Y1D75oJ3gqMQWLVOE
67,Austin,Blake Shelton,spotify:track:2WQAknZHrJAEQOFXe0F44P
68,I Am a Rock,Simon & Garfunkel,spotify:track:0byOqNZN9ailhoORv5Ps0Z
69,From God's Perspective,Bo Burnham,spotify:track:6ghnKwHcGX1RLPWjJYKbGd
70,Rockstar,Nickelback,spotify:track:6n9yCXvLhnYMgJIiIcMu7D
71,Finally Moving,Pretty Lights,spotify:track:3WS7spXVlbeC5kjePmHMQW
72,Honestly,Stryper,spotify:track:66POKxMki5FryEYtHBZ5GZ
73,Blinded,The Bots,spotify:track:1wbdOwwLLuiDq1MgMdVJcd
74,On the Radio,Regina Spektor,spotify:track:6uA9lKAYHcBLhxb5KZYygj
75,Don't,Ed Sheeran,spotify:track:1huvTbEYtgltjQRXzrNKGi
76,Fight Song,Rachel Platten,spotify:track:37f4ITSlgPX81ad2EvmVQr
77,Dynamite,Taio Cruz,spotify:track:1DqdF42leyFIzqNDv9CjId
78,Blood Brothers,Papa Roach,spotify:track:0R0Od004mm1yRHEVnpygoj
79,When the Tigers Broke Free,Pink Floyd,spotify:track:23ItRtrVX4vF30wGrzfznf
80,Cabaret,Liza Minnelli,spotify:track:5KhMLaz5JNZviJJAmubGPM
81,Stressed Out,Twenty One Pilots,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn
82,Could've Been,Tiffany,spotify:track:1xvGuRbLxTkpb5UdUG7HME
83,If You Really Loved Me - Live,Tim Minchin,spotify:track:7wOpUrPq4JbTWzFO9wilzm
84,First Of May,Bee Gees,spotify:track:1bEzxyJJcadq40MFXhTTtr
85,First of May,Olivia Ong,spotify:track:1zBdbAhsZ53xtR8OnGGhty
86,Rock 'n' roll Nerd - Live,Tim Minchin,spotify:track:5P7oDB5bDFHaEJGjnUenTU
87,Lemon Eyes,Meg Myers,spotify:track:1bwMNFWG2NXOsSz5AgndIy
88,I Mean It (feat. Remo),G-Eazy,spotify:track:6jmTHeoWvBaSrwWttr8Xvu
89,Heaven Is A Place On Earth,Belinda Carlisle,spotify:track:58mFu3oIpBa0HLNeJIxsw3
90,I Think We're Alone Now,Tiffany,spotify:track:0n1NI4TnEw0SeXSS4DNhhb
91,Another One Bites The Dust - Remastered 2011,Queen,spotify:track:57JVGBtBLCfHw2muk5416J
92,Edge of Seventeen,Stevie Nicks,spotify:track:2id8E4WvczfKHB4LHI7Np3
93,Bless the Broken Road,The Mick Lloyd Connection,spotify:track:5w3rC5qQD1hMhm4aRM7Xcw
94,At Seventeen,Janis Ian,spotify:track:3bRcSxW2FnSSwrzoYT1knV
95,Iris,The Goo Goo Dolls,spotify:track:6vrUTGn5p8IrfTZ0J6sIVM
96,The Lazy Song,Bruno Mars,spotify:track:1ExfPZEiahqhLyajhybFeS
97,Zombie,The Cranberries,spotify:track:2IZZqH4K02UIYg5EohpNHF
98,Free Bird,Lynyrd Skynyrd,spotify:track:5EWPGh7jbTNO2wakv8LjUI
99,All of Me,John Legend,spotify:track:3U4isOIWM3VvDubwSI3y7a
100,"Paint It, Black - (Original Single Mono Version)",The Rolling Stones,spotify:track:7lY8aoN3wUR3NY4nUwigPv
101,Only Women Bleed,Alice Cooper,spotify:track:59xDvLlKHcLI0c9CSmzxSN
102,Losing My Religion,R.E.M.,spotify:track:74EV0g12ihUoOUXMprFpZB
103,Cleanin' Out My Closet,Eminem,spotify:track:4ni8GyT1Lwn1LVl88MJsQd
104,Kryptonite,3 Doors Down,spotify:track:6ZOBP3NvffbU4SZcrnt1k6
105,Criminal,Britney Spears,spotify:track:6T689Jvh5KrSXyaPtUWZtQ
106,Imagine - Remastered 2010,John Lennon,spotify:track:7pKfPomDEeI4TPT6EOYjn9
107,The Longest Time,Billy Joel,spotify:track:3YhcVZIWyakQSTUJD1YMt4
108,Here Without You,3 Doors Down,spotify:track:135cNW8kQtiTId7qcsJfVC
109,The Art Of Breaking,Thousand Foot Krutch,spotify:track:6W96guiUjEduSKGZoJ4pRk
110,When In Doubt,Thousand Foot Krutch,spotify:track:3WDre2juz0eyL8LbgUmVWT
111,Unbelievable,Thousand Foot Krutch,spotify:track:3g5XSYduDvlgstpGhxjoMb
112,Small Town,Thousand Foot Krutch,spotify:track:5n8a18QX7RJWU7j1DtpTlG
113,Enter Sandman,Metallica,spotify:track:1hKdDCpiI9mqz1jVHRKG0E
114,One,Metallica,spotify:track:64Ret7Tf2M8pDE4aqbW2tX
115,Madame Guillotine,The Scarlet Pimpernel,spotify:track:4pBQ3LtvHofjqAHrL6OBhg
116,Into the Fire,Douglas Sills,spotify:track:5a74M9A14XYMZQRWHXKTXm
117,The Creation of Man,Douglas Sills,spotify:track:5vfvw9HXnn3LYMv8XLPWo4
118,Falcon in the Dive,Terry Mann,spotify:track:2xfknuaCUIN7UAA2l46UHF
119,Hallelujah,Rufus Wainwright,spotify:track:6JUALLwHnidbO4eM09ArIh
120,Now's the Time,Slick Shoes,spotify:track:7uMSEldDoQbpnRENlsCZxg
121,Piano Man,Billy Joel,spotify:track:3FCto7hnn1shUyZL42YgfO
122,Pinball Wizard,The Who,spotify:track:60C8zGPTdAAmDshHnMuyfc
123,Ace of Spades,Motörhead,spotify:track:1T45V6RDj1vTLFY6Cw4tNf
124,Comfortably Numb,Pink Floyd,spotify:track:5HNCy40Ni5BZJFw1TKzRsC
125,Won't Get Fooled Again - Remix,The Who,spotify:track:1W1GpfPujmgp2vQqcpUhtU
